"","av","Time","SharePerHour"
"15002","Miscellaneous",1284,5.93
"15003","Nonsocial leisure",1284,4.98
"15004","Paid work",1284,3.27
"15005","Personal care",1284,5.98
"15006","Religion and volunteering",1284,2.55
"15007","School / Study",1284,0.37
"15008","Social leisure",1284,29.73
"15009","Sport exercise",1284,5.7
"15010","TV/radio",1284,26.46
"15011","Cultural leisure",1285,3.45
"15012","Domestic work",1285,4.88
"15013","Eat drink",1285,6.69
"15014","Miscellaneous",1285,5.93
"15015","Nonsocial leisure",1285,4.98
"15016","Paid work",1285,3.27
"15017","Personal care",1285,5.98
"15018","Religion and volunteering",1285,2.55
"15019","School / Study",1285,0.37
"15020","Social leisure",1285,29.73
"15021","Sport exercise",1285,5.7
"15022","TV/radio",1285,26.46
"15023","Cultural leisure",1286,3.47
"15024","Domestic work",1286,4.93
"15025","Eat drink",1286,6.79
"15026","Miscellaneous",1286,6.1
"15027","Nonsocial leisure",1286,4.91
"15028","Paid work",1286,3.27
"15029","Personal care",1286,6
"15030","Religion and volunteering",1286,2.53
"15031","School / Study",1286,0.35
"15032","Social leisure",1286,29.61
"15033","Sport exercise",1286,5.68
"15034","TV/radio",1286,26.36
"15035","Cultural leisure",1287,3.47
"15036","Domestic work",1287,4.91
"15037","Eat drink",1287,6.79
"15038","Miscellaneous",1287,6.1
"15039","Nonsocial leisure",1287,4.91
"15040","Paid work",1287,3.27
"15041","Personal care",1287,6.03
"15042","Religion and volunteering",1287,2.53
"15043","School / Study",1287,0.35
"15044","Social leisure",1287,29.61
"15045","Sport exercise",1287,5.68
"15046","TV/radio",1287,26.36
"15047","Cultural leisure",1288,3.47
"15048","Domestic work",1288,4.91
"15049","Eat drink",1288,6.77
"15050","Miscellaneous",1288,6.12
"15051","Nonsocial leisure",1288,4.88
"15052","Paid work",1288,3.27
"15053","Personal care",1288,6.03
"15054","Religion and volunteering",1288,2.53
"15055","School / Study",1288,0.35
"15056","Social leisure",1288,29.66
"15057","Sport exercise",1288,5.68
"15058","TV/radio",1288,26.33
"15059","Cultural leisure",1289,3.47
"15060","Domestic work",1289,4.91
"15061","Eat drink",1289,6.77
"15062","Miscellaneous",1289,6.12
"15063","Nonsocial leisure",1289,4.88
"15064","Paid work",1289,3.27
"15065","Personal care",1289,6.03
"15066","Religion and volunteering",1289,2.53
"15067","School / Study",1289,0.35
"15068","Social leisure",1289,29.66
"15069","Sport exercise",1289,5.68
"15070","TV/radio",1289,26.33
"15071","Cultural leisure",1290,3.47
"15072","Domestic work",1290,4.88
"15073","Eat drink",1290,6.77
"15074","Miscellaneous",1290,6.15
"15075","Nonsocial leisure",1290,4.88
"15076","Paid work",1290,3.27
"15077","Personal care",1290,6.03
"15078","Religion and volunteering",1290,2.53
"15079","School / Study",1290,0.35
"15080","Social leisure",1290,29.66
"15081","Sport exercise",1290,5.68
"15082","TV/radio",1290,26.33
"15083","Cultural leisure",1291,3.37
"15084","Domestic work",1291,4.88
"15085","Eat drink",1291,7.17
"15086","Miscellaneous",1291,6.72
"15087","Nonsocial leisure",1291,5.16
"15088","Paid work",1291,2.93
"15089","Personal care",1291,7.64
"15090","Religion and volunteering",1291,2.23
"15091","School / Study",1291,0.4
"15092","Social leisure",1291,29.48
"15093","Sport exercise",1291,5.03
"15094","TV/radio",1291,24.99
"15095","Cultural leisure",1292,3.37
"15096","Domestic work",1292,4.88
"15097","Eat drink",1292,7.19
"15098","Miscellaneous",1292,6.67
"15099","Nonsocial leisure",1292,5.18
"15100","Paid work",1292,2.93
"15101","Personal care",1292,7.64
"15102","Religion and volunteering",1292,2.23
"15103","School / Study",1292,0.4
"15104","Social leisure",1292,29.46
"15105","Sport exercise",1292,5.03
"15106","TV/radio",1292,25.02
"15107","Cultural leisure",1293,3.4
"15108","Domestic work",1293,4.88
"15109","Eat drink",1293,7.19
"15110","Miscellaneous",1293,6.67
"15111","Nonsocial leisure",1293,5.18
"15112","Paid work",1293,2.93
"15113","Personal care",1293,7.61
"15114","Religion and volunteering",1293,2.23
"15115","School / Study",1293,0.4
"15116","Social leisure",1293,29.46
"15117","Sport exercise",1293,5.03
"15118","TV/radio",1293,25.02
"15119","Cultural leisure",1294,3.4
"15120","Domestic work",1294,4.88
"15121","Eat drink",1294,7.19
"15122","Miscellaneous",1294,6.72
"15123","Nonsocial leisure",1294,5.18
"15124","Paid work",1294,2.93
"15125","Personal care",1294,7.61
"15126","Religion and volunteering",1294,2.23
"15127","School / Study",1294,0.4
"15128","Social leisure",1294,29.43
"15129","Sport exercise",1294,5.03
"15130","TV/radio",1294,24.99
"15131","Cultural leisure",1295,3.4
"15132","Domestic work",1295,4.86
"15133","Eat drink",1295,7.19
"15134","Miscellaneous",1295,6.72
"15135","Nonsocial leisure",1295,5.18
"15136","Paid work",1295,2.93
"15137","Personal care",1295,7.61
"15138","Religion and volunteering",1295,2.23
"15139","School / Study",1295,0.4
"15140","Social leisure",1295,29.43
"15141","Sport exercise",1295,5.03
"15142","TV/radio",1295,25.02
"15143","Cultural leisure",1296,3.45
"15144","Domestic work",1296,4.81
"15145","Eat drink",1296,7.36
"15146","Miscellaneous",1296,6.47
"15147","Nonsocial leisure",1296,5.21
"15148","Paid work",1296,2.9
"15149","Personal care",1296,7.71
"15150","Religion and volunteering",1296,2.18
"15151","School / Study",1296,0.4
"15152","Social leisure",1296,29.51
"15153","Sport exercise",1296,4.98
"15154","TV/radio",1296,25.02
"15155","Cultural leisure",1297,3.45
"15156","Domestic work",1297,4.81
"15157","Eat drink",1297,7.36
"15158","Miscellaneous",1297,6.47
"15159","Nonsocial leisure",1297,5.21
"15160","Paid work",1297,2.9
"15161","Personal care",1297,7.71
"15162","Religion and volunteering",1297,2.18
"15163","School / Study",1297,0.4
"15164","Social leisure",1297,29.51
"15165","Sport exercise",1297,4.98
"15166","TV/radio",1297,25.02
"15167","Cultural leisure",1298,3.45
"15168","Domestic work",1298,4.84
"15169","Eat drink",1298,7.34
"15170","Miscellaneous",1298,6.47
"15171","Nonsocial leisure",1298,5.21
"15172","Paid work",1298,2.9
"15173","Personal care",1298,7.69
"15174","Religion and volunteering",1298,2.18
"15175","School / Study",1298,0.4
"15176","Social leisure",1298,29.51
"15177","Sport exercise",1298,4.98
"15178","TV/radio",1298,25.04
"15179","Cultural leisure",1299,3.45
"15180","Domestic work",1299,4.84
"15181","Eat drink",1299,7.34
"15182","Miscellaneous",1299,6.47
"15183","Nonsocial leisure",1299,5.21
"15184","Paid work",1299,2.9
"15185","Personal care",1299,7.71
"15186","Religion and volunteering",1299,2.18
"15187","School / Study",1299,0.4
"15188","Social leisure",1299,29.51
"15189","Sport exercise",1299,4.98
"15190","TV/radio",1299,25.02
"15191","Cultural leisure",1300,3.45
"15192","Domestic work",1300,4.84
"15193","Eat drink",1300,7.34
"15194","Miscellaneous",1300,6.47
"15195","Nonsocial leisure",1300,5.21
"15196","Paid work",1300,2.9
"15197","Personal care",1300,7.71
"15198","Religion and volunteering",1300,2.18
"15199","School / Study",1300,0.4
"15200","Social leisure",1300,29.51
"15201","Sport exercise",1300,4.98
"15202","TV/radio",1300,25.02
"15203","Cultural leisure",1301,3.52
"15204","Domestic work",1301,4.74
"15205","Eat drink",1301,7.54
"15206","Miscellaneous",1301,6.42
"15207","Nonsocial leisure",1301,4.98
"15208","Paid work",1301,2.9
"15209","Personal care",1301,7.91
"15210","Religion and volunteering",1301,2.23
"15211","School / Study",1301,0.4
"15212","Social leisure",1301,29.51
"15213","Sport exercise",1301,4.96
"15214","TV/radio",1301,24.89
"15215","Cultural leisure",1302,3.5
"15216","Domestic work",1302,4.76
"15217","Eat drink",1302,7.56
"15218","Miscellaneous",1302,6.42
"15219","Nonsocial leisure",1302,4.96
"15220","Paid work",1302,2.9
"15221","Personal care",1302,7.91
"15222","Religion and volunteering",1302,2.23
"15223","School / Study",1302,0.4
"15224","Social leisure",1302,29.51
"15225","Sport exercise",1302,4.96
"15226","TV/radio",1302,24.89
"15227","Cultural leisure",1303,3.5
"15228","Domestic work",1303,4.76
"15229","Eat drink",1303,7.56
"15230","Miscellaneous",1303,6.42
"15231","Nonsocial leisure",1303,4.96
"15232","Paid work",1303,2.9
"15233","Personal care",1303,7.91
"15234","Religion and volunteering",1303,2.23
"15235","School / Study",1303,0.4
"15236","Social leisure",1303,29.51
"15237","Sport exercise",1303,4.96
"15238","TV/radio",1303,24.89
"15239","Cultural leisure",1304,3.5
"15240","Domestic work",1304,4.76
"15241","Eat drink",1304,7.59
"15242","Miscellaneous",1304,6.42
"15243","Nonsocial leisure",1304,4.96
"15244","Paid work",1304,2.9
"15245","Personal care",1304,7.93
"15246","Religion and volunteering",1304,2.23
"15247","School / Study",1304,0.4
"15248","Social leisure",1304,29.53
"15249","Sport exercise",1304,4.96
"15250","TV/radio",1304,24.82
"15251","Cultural leisure",1305,3.5
"15252","Domestic work",1305,4.76
"15253","Eat drink",1305,7.59
"15254","Miscellaneous",1305,6.45
"15255","Nonsocial leisure",1305,4.96
"15256","Paid work",1305,2.9
"15257","Personal care",1305,7.93
"15258","Religion and volunteering",1305,2.23
"15259","School / Study",1305,0.4
"15260","Social leisure",1305,29.53
"15261","Sport exercise",1305,4.93
"15262","TV/radio",1305,24.82
"15263","Cultural leisure",1306,3.45
"15264","Domestic work",1306,4.64
"15265","Eat drink",1306,7.49
"15266","Miscellaneous",1306,6.42
"15267","Nonsocial leisure",1306,5.11
"15268","Paid work",1306,2.9
"15269","Personal care",1306,8.68
"15270","Religion and volunteering",1306,2.18
"15271","School / Study",1306,0.45
"15272","Social leisure",1306,29.43
"15273","Sport exercise",1306,4.64
"15274","TV/radio",1306,24.62
"15275","Cultural leisure",1307,3.47
"15276","Domestic work",1307,4.64
"15277","Eat drink",1307,7.49
"15278","Miscellaneous",1307,6.4
"15279","Nonsocial leisure",1307,5.13
"15280","Paid work",1307,2.9
"15281","Personal care",1307,8.68
"15282","Religion and volunteering",1307,2.18
"15283","School / Study",1307,0.45
"15284","Social leisure",1307,29.41
"15285","Sport exercise",1307,4.64
"15286","TV/radio",1307,24.62
"15287","Cultural leisure",1308,3.47
"15288","Domestic work",1308,4.64
"15289","Eat drink",1308,7.49
"15290","Miscellaneous",1308,6.4
"15291","Nonsocial leisure",1308,5.13
"15292","Paid work",1308,2.9
"15293","Personal care",1308,8.68
"15294","Religion and volunteering",1308,2.18
"15295","School / Study",1308,0.45
"15296","Social leisure",1308,29.41
"15297","Sport exercise",1308,4.64
"15298","TV/radio",1308,24.62
"15299","Cultural leisure",1309,3.47
"15300","Domestic work",1309,4.64
"15301","Eat drink",1309,7.49
"15302","Miscellaneous",1309,6.4
"15303","Nonsocial leisure",1309,5.13
"15304","Paid work",1309,2.9
"15305","Personal care",1309,8.68
"15306","Religion and volunteering",1309,2.18
"15307","School / Study",1309,0.45
"15308","Social leisure",1309,29.41
"15309","Sport exercise",1309,4.64
"15310","TV/radio",1309,24.62
"15311","Cultural leisure",1310,3.47
"15312","Domestic work",1310,4.64
"15313","Eat drink",1310,7.49
"15314","Miscellaneous",1310,6.42
"15315","Nonsocial leisure",1310,5.11
"15316","Paid work",1310,2.9
"15317","Personal care",1310,8.68
"15318","Religion and volunteering",1310,2.18
"15319","School / Study",1310,0.45
"15320","Social leisure",1310,29.41
"15321","Sport exercise",1310,4.64
"15322","TV/radio",1310,24.62
"15323","Cultural leisure",1311,3.47
"15324","Domestic work",1311,4.64
"15325","Eat drink",1311,7.46
"15326","Miscellaneous",1311,6.62
"15327","Nonsocial leisure",1311,5.18
"15328","Paid work",1311,2.88
"15329","Personal care",1311,8.83
"15330","Religion and volunteering",1311,2.16
"15331","School / Study",1311,0.47
"15332","Social leisure",1311,29.11
"15333","Sport exercise",1311,4.56
"15334","TV/radio",1311,24.62
"15335","Cultural leisure",1312,3.47
"15336","Domestic work",1312,4.64
"15337","Eat drink",1312,7.46
"15338","Miscellaneous",1312,6.62
"15339","Nonsocial leisure",1312,5.18
"15340","Paid work",1312,2.88
"15341","Personal care",1312,8.83
"15342","Religion and volunteering",1312,2.16
"15343","School / Study",1312,0.47
"15344","Social leisure",1312,29.11
"15345","Sport exercise",1312,4.56
"15346","TV/radio",1312,24.62
"15347","Cultural leisure",1313,3.47
"15348","Domestic work",1313,4.64
"15349","Eat drink",1313,7.46
"15350","Miscellaneous",1313,6.65
"15351","Nonsocial leisure",1313,5.18
"15352","Paid work",1313,2.88
"15353","Personal care",1313,8.83
"15354","Religion and volunteering",1313,2.16
"15355","School / Study",1313,0.47
"15356","Social leisure",1313,29.11
"15357","Sport exercise",1313,4.54
"15358","TV/radio",1313,24.62
"15359","Cultural leisure",1314,3.5
"15360","Domestic work",1314,4.64
"15361","Eat drink",1314,7.46
"15362","Miscellaneous",1314,6.65
"15363","Nonsocial leisure",1314,5.18
"15364","Paid work",1314,2.88
"15365","Personal care",1314,8.83
"15366","Religion and volunteering",1314,2.16
"15367","School / Study",1314,0.47
"15368","Social leisure",1314,29.11
"15369","Sport exercise",1314,4.54
"15370","TV/radio",1314,24.6
"15371","Cultural leisure",1315,3.5
"15372","Domestic work",1315,4.64
"15373","Eat drink",1315,7.46
"15374","Miscellaneous",1315,6.65
"15375","Nonsocial leisure",1315,5.18
"15376","Paid work",1315,2.88
"15377","Personal care",1315,8.83
"15378","Religion and volunteering",1315,2.16
"15379","School / Study",1315,0.47
"15380","Social leisure",1315,29.11
"15381","Sport exercise",1315,4.54
"15382","TV/radio",1315,24.6
"15383","Cultural leisure",1316,3.5
"15384","Domestic work",1316,4.56
"15385","Eat drink",1316,7.51
"15386","Miscellaneous",1316,6.62
"15387","Nonsocial leisure",1316,5.23
"15388","Paid work",1316,2.88
"15389","Personal care",1316,8.95
"15390","Religion and volunteering",1316,2.13
"15391","School / Study",1316,0.47
"15392","Social leisure",1316,28.94
"15393","Sport exercise",1316,4.56
"15394","TV/radio",1316,24.65
"15395","Cultural leisure",1317,3.5
"15396","Domestic work",1317,4.59
"15397","Eat drink",1317,7.51
"15398","Miscellaneous",1317,6.62
"15399","Nonsocial leisure",1317,5.23
"15400","Paid work",1317,2.88
"15401","Personal care",1317,8.95
"15402","Religion and volunteering",1317,2.13
"15403","School / Study",1317,0.47
"15404","Social leisure",1317,28.94
"15405","Sport exercise",1317,4.56
"15406","TV/radio",1317,24.62
"15407","Cultural leisure",1318,3.52
"15408","Domestic work",1318,4.59
"15409","Eat drink",1318,7.51
"15410","Miscellaneous",1318,6.62
"15411","Nonsocial leisure",1318,5.23
"15412","Paid work",1318,2.88
"15413","Personal care",1318,8.95
"15414","Religion and volunteering",1318,2.13
"15415","School / Study",1318,0.47
"15416","Social leisure",1318,28.91
"15417","Sport exercise",1318,4.56
"15418","TV/radio",1318,24.62
"15419","Cultural leisure",1319,3.52
"15420","Domestic work",1319,4.59
"15421","Eat drink",1319,7.51
"15422","Miscellaneous",1319,6.6
"15423","Nonsocial leisure",1319,5.23
"15424","Paid work",1319,2.88
"15425","Personal care",1319,9
"15426","Religion and volunteering",1319,2.13
"15427","School / Study",1319,0.47
"15428","Social leisure",1319,28.91
"15429","Sport exercise",1319,4.56
"15430","TV/radio",1319,24.6
"15431","Cultural leisure",1320,3.52
"15432","Domestic work",1320,4.59
"15433","Eat drink",1320,7.51
"15434","Miscellaneous",1320,6.62
"15435","Nonsocial leisure",1320,5.23
"15436","Paid work",1320,2.88
"15437","Personal care",1320,9
"15438","Religion and volunteering",1320,2.13
"15439","School / Study",1320,0.47
"15440","Social leisure",1320,28.89
"15441","Sport exercise",1320,4.56
"15442","TV/radio",1320,24.6
"15443","Cultural leisure",1321,2.88
"15444","Domestic work",1321,4.14
"15445","Eat drink",1321,7.04
"15446","Miscellaneous",1321,7.66
"15447","Nonsocial leisure",1321,5.75
"15448","Paid work",1321,2.48
"15449","Personal care",1321,14.28
"15450","Religion and volunteering",1321,1.56
"15451","School / Study",1321,0.37
"15452","Social leisure",1321,27.05
"15453","Sport exercise",1321,3.47
"15454","TV/radio",1321,23.31
"15455","Cultural leisure",1322,2.9
"15456","Domestic work",1322,4.14
"15457","Eat drink",1322,7.04
"15458","Miscellaneous",1322,7.49
"15459","Nonsocial leisure",1322,5.75
"15460","Paid work",1322,2.45
"15461","Personal care",1322,14.28
"15462","Religion and volunteering",1322,1.56
"15463","School / Study",1322,0.37
"15464","Social leisure",1322,27.05
"15465","Sport exercise",1322,3.45
"15466","TV/radio",1322,23.51
"15467","Cultural leisure",1323,2.9
"15468","Domestic work",1323,4.14
"15469","Eat drink",1323,7.07
"15470","Miscellaneous",1323,7.49
"15471","Nonsocial leisure",1323,5.73
"15472","Paid work",1323,2.45
"15473","Personal care",1323,14.23
"15474","Religion and volunteering",1323,1.56
"15475","School / Study",1323,0.37
"15476","Social leisure",1323,27.1
"15477","Sport exercise",1323,3.45
"15478","TV/radio",1323,23.51
"15479","Cultural leisure",1324,2.9
"15480","Domestic work",1324,4.14
"15481","Eat drink",1324,7.07
"15482","Miscellaneous",1324,7.46
"15483","Nonsocial leisure",1324,5.73
"15484","Paid work",1324,2.45
"15485","Personal care",1324,14.26
"15486","Religion and volunteering",1324,1.56
"15487","School / Study",1324,0.37
"15488","Social leisure",1324,27.1
"15489","Sport exercise",1324,3.42
"15490","TV/radio",1324,23.53
"15491","Cultural leisure",1325,2.9
"15492","Domestic work",1325,4.14
"15493","Eat drink",1325,7.04
"15494","Miscellaneous",1325,7.46
"15495","Nonsocial leisure",1325,5.73
"15496","Paid work",1325,2.45
"15497","Personal care",1325,14.26
"15498","Religion and volunteering",1325,1.56
"15499","School / Study",1325,0.37
"15500","Social leisure",1325,27.1
"15501","Sport exercise",1325,3.42
"15502","TV/radio",1325,23.56
"15503","Cultural leisure",1326,2.93
"15504","Domestic work",1326,4.19
"15505","Eat drink",1326,7.39
"15506","Miscellaneous",1326,7.34
"15507","Nonsocial leisure",1326,5.38
"15508","Paid work",1326,2.43
"15509","Personal care",1326,14.41
"15510","Religion and volunteering",1326,1.51
"15511","School / Study",1326,0.37
"15512","Social leisure",1326,27.15
"15513","Sport exercise",1326,3.2
"15514","TV/radio",1326,23.7
"15515","Cultural leisure",1327,2.93
"15516","Domestic work",1327,4.19
"15517","Eat drink",1327,7.41
"15518","Miscellaneous",1327,7.27
"15519","Nonsocial leisure",1327,5.38
"15520","Paid work",1327,2.43
"15521","Personal care",1327,14.46
"15522","Religion and volunteering",1327,1.51
"15523","School / Study",1327,0.37
"15524","Social leisure",1327,27.18
"15525","Sport exercise",1327,3.2
"15526","TV/radio",1327,23.68
"15527","Cultural leisure",1328,2.93
"15528","Domestic work",1328,4.19
"15529","Eat drink",1328,7.39
"15530","Miscellaneous",1328,7.22
"15531","Nonsocial leisure",1328,5.38
"15532","Paid work",1328,2.43
"15533","Personal care",1328,14.48
"15534","Religion and volunteering",1328,1.51
"15535","School / Study",1328,0.37
"15536","Social leisure",1328,27.2
"15537","Sport exercise",1328,3.2
"15538","TV/radio",1328,23.7
"15539","Cultural leisure",1329,2.93
"15540","Domestic work",1329,4.19
"15541","Eat drink",1329,7.39
"15542","Miscellaneous",1329,7.22
"15543","Nonsocial leisure",1329,5.38
"15544","Paid work",1329,2.43
"15545","Personal care",1329,14.46
"15546","Religion and volunteering",1329,1.51
"15547","School / Study",1329,0.37
"15548","Social leisure",1329,27.2
"15549","Sport exercise",1329,3.2
"15550","TV/radio",1329,23.73
"15551","Cultural leisure",1330,2.93
"15552","Domestic work",1330,4.19
"15553","Eat drink",1330,7.34
"15554","Miscellaneous",1330,7.24
"15555","Nonsocial leisure",1330,5.38
"15556","Paid work",1330,2.43
"15557","Personal care",1330,14.48
"15558","Religion and volunteering",1330,1.51
"15559","School / Study",1330,0.37
"15560","Social leisure",1330,27.2
"15561","Sport exercise",1330,3.2
"15562","TV/radio",1330,23.73
"15563","Cultural leisure",1331,2.78
"15564","Domestic work",1331,4.14
"15565","Eat drink",1331,7.54
"15566","Miscellaneous",1331,7.29
"15567","Nonsocial leisure",1331,5.53
"15568","Paid work",1331,2.41
"15569","Personal care",1331,15
"15570","Religion and volunteering",1331,1.39
"15571","School / Study",1331,0.37
"15572","Social leisure",1331,26.83
"15573","Sport exercise",1331,3.07
"15574","TV/radio",1331,23.65
"15575","Cultural leisure",1332,2.78
"15576","Domestic work",1332,4.14
"15577","Eat drink",1332,7.56
"15578","Miscellaneous",1332,7.27
"15579","Nonsocial leisure",1332,5.53
"15580","Paid work",1332,2.41
"15581","Personal care",1332,15
"15582","Religion and volunteering",1332,1.39
"15583","School / Study",1332,0.37
"15584","Social leisure",1332,26.83
"15585","Sport exercise",1332,3.07
"15586","TV/radio",1332,23.65
"15587","Cultural leisure",1333,2.78
"15588","Domestic work",1333,4.17
"15589","Eat drink",1333,7.59
"15590","Miscellaneous",1333,7.24
"15591","Nonsocial leisure",1333,5.53
"15592","Paid work",1333,2.41
"15593","Personal care",1333,15
"15594","Religion and volunteering",1333,1.39
"15595","School / Study",1333,0.37
"15596","Social leisure",1333,26.8
"15597","Sport exercise",1333,3.07
"15598","TV/radio",1333,23.65
"15599","Cultural leisure",1334,2.78
"15600","Domestic work",1334,4.17
"15601","Eat drink",1334,7.59
"15602","Miscellaneous",1334,7.24
"15603","Nonsocial leisure",1334,5.53
"15604","Paid work",1334,2.41
"15605","Personal care",1334,15
"15606","Religion and volunteering",1334,1.39
"15607","School / Study",1334,0.37
"15608","Social leisure",1334,26.8
"15609","Sport exercise",1334,3.07
"15610","TV/radio",1334,23.65
"15611","Cultural leisure",1335,2.78
"15612","Domestic work",1335,4.17
"15613","Eat drink",1335,7.59
"15614","Miscellaneous",1335,7.27
"15615","Nonsocial leisure",1335,5.53
"15616","Paid work",1335,2.41
"15617","Personal care",1335,15
"15618","Religion and volunteering",1335,1.39
"15619","School / Study",1335,0.37
"15620","Social leisure",1335,26.8
"15621","Sport exercise",1335,3.07
"15622","TV/radio",1335,23.63
"15623","Cultural leisure",1336,2.88
"15624","Domestic work",1336,4.09
"15625","Eat drink",1336,7.64
"15626","Miscellaneous",1336,7.29
"15627","Nonsocial leisure",1336,6.2
"15628","Paid work",1336,2.16
"15629","Personal care",1336,16.51
"15630","Religion and volunteering",1336,1.24
"15631","School / Study",1336,0.42
"15632","Social leisure",1336,25.76
"15633","Sport exercise",1336,2.75
"15634","TV/radio",1336,23.06
"15635","Cultural leisure",1337,2.88
"15636","Domestic work",1337,4.07
"15637","Eat drink",1337,7.66
"15638","Miscellaneous",1337,7.29
"15639","Nonsocial leisure",1337,6.22
"15640","Paid work",1337,2.16
"15641","Personal care",1337,16.51
"15642","Religion and volunteering",1337,1.24
"15643","School / Study",1337,0.42
"15644","Social leisure",1337,25.74
"15645","Sport exercise",1337,2.75
"15646","TV/radio",1337,23.06
"15647","Cultural leisure",1338,2.85
"15648","Domestic work",1338,4.04
"15649","Eat drink",1338,7.69
"15650","Miscellaneous",1338,7.31
"15651","Nonsocial leisure",1338,6.22
"15652","Paid work",1338,2.16
"15653","Personal care",1338,16.51
"15654","Religion and volunteering",1338,1.24
"15655","School / Study",1338,0.42
"15656","Social leisure",1338,25.74
"15657","Sport exercise",1338,2.75
"15658","TV/radio",1338,23.06
"15659","Cultural leisure",1339,2.85
"15660","Domestic work",1339,4.04
"15661","Eat drink",1339,7.69
"15662","Miscellaneous",1339,7.34
"15663","Nonsocial leisure",1339,6.2
"15664","Paid work",1339,2.16
"15665","Personal care",1339,16.51
"15666","Religion and volunteering",1339,1.24
"15667","School / Study",1339,0.42
"15668","Social leisure",1339,25.74
"15669","Sport exercise",1339,2.75
"15670","TV/radio",1339,23.06
"15671","Cultural leisure",1340,2.85
"15672","Domestic work",1340,4.04
"15673","Eat drink",1340,7.69
"15674","Miscellaneous",1340,7.34
"15675","Nonsocial leisure",1340,6.17
"15676","Paid work",1340,2.16
"15677","Personal care",1340,16.54
"15678","Religion and volunteering",1340,1.24
"15679","School / Study",1340,0.42
"15680","Social leisure",1340,25.74
"15681","Sport exercise",1340,2.75
"15682","TV/radio",1340,23.06
"15683","Cultural leisure",1341,2.83
"15684","Domestic work",1341,4.02
"15685","Eat drink",1341,7.93
"15686","Miscellaneous",1341,7.36
"15687","Nonsocial leisure",1341,6.07
"15688","Paid work",1341,2.08
"15689","Personal care",1341,17.01
"15690","Religion and volunteering",1341,1.24
"15691","School / Study",1341,0.37
"15692","Social leisure",1341,25.46
"15693","Sport exercise",1341,2.7
"15694","TV/radio",1341,22.91
"15695","Cultural leisure",1342,2.83
"15696","Domestic work",1342,3.97
"15697","Eat drink",1342,7.96
"15698","Miscellaneous",1342,7.39
"15699","Nonsocial leisure",1342,6.05
"15700","Paid work",1342,2.08
"15701","Personal care",1342,17.01
"15702","Religion and volunteering",1342,1.24
"15703","School / Study",1342,0.37
"15704","Social leisure",1342,25.46
"15705","Sport exercise",1342,2.7
"15706","TV/radio",1342,22.94
"15707","Cultural leisure",1343,2.85
"15708","Domestic work",1343,3.97
"15709","Eat drink",1343,7.96
"15710","Miscellaneous",1343,7.41
"15711","Nonsocial leisure",1343,6.03
"15712","Paid work",1343,2.08
"15713","Personal care",1343,16.98
"15714","Religion and volunteering",1343,1.24
"15715","School / Study",1343,0.37
"15716","Social leisure",1343,25.46
"15717","Sport exercise",1343,2.7
"15718","TV/radio",1343,22.94
"15719","Cultural leisure",1344,2.85
"15720","Domestic work",1344,3.97
"15721","Eat drink",1344,7.98
"15722","Miscellaneous",1344,7.41
"15723","Nonsocial leisure",1344,6.03
"15724","Paid work",1344,2.08
"15725","Personal care",1344,16.98
"15726","Religion and volunteering",1344,1.24
"15727","School / Study",1344,0.37
"15728","Social leisure",1344,25.46
"15729","Sport exercise",1344,2.7
"15730","TV/radio",1344,22.91
"15731","Cultural leisure",1345,2.85
"15732","Domestic work",1345,3.97
"15733","Eat drink",1345,7.98
"15734","Miscellaneous",1345,7.41
"15735","Nonsocial leisure",1345,6
"15736","Paid work",1345,2.08
"15737","Personal care",1345,17.01
"15738","Religion and volunteering",1345,1.24
"15739","School / Study",1345,0.37
"15740","Social leisure",1345,25.46
"15741","Sport exercise",1345,2.7
"15742","TV/radio",1345,22.91
"15743","Cultural leisure",1346,2.9
"15744","Domestic work",1346,3.87
"15745","Eat drink",1346,8.16
"15746","Miscellaneous",1346,7.44
"15747","Nonsocial leisure",1346,5.75
"15748","Paid work",1346,2.08
"15749","Personal care",1346,17.23
"15750","Religion and volunteering",1346,1.21
"15751","School / Study",1346,0.35
"15752","Social leisure",1346,25.49
"15753","Sport exercise",1346,2.65
"15754","TV/radio",1346,22.86
"15755","Cultural leisure",1347,2.85
"15756","Domestic work",1347,3.87
"15757","Eat drink",1347,8.16
"15758","Miscellaneous",1347,7.44
"15759","Nonsocial leisure",1347,5.78
"15760","Paid work",1347,2.08
"15761","Personal care",1347,17.26
"15762","Religion and volunteering",1347,1.21
"15763","School / Study",1347,0.35
"15764","Social leisure",1347,25.49
"15765","Sport exercise",1347,2.65
"15766","TV/radio",1347,22.86
"15767","Cultural leisure",1348,2.85
"15768","Domestic work",1348,3.87
"15769","Eat drink",1348,8.18
"15770","Miscellaneous",1348,7.46
"15771","Nonsocial leisure",1348,5.75
"15772","Paid work",1348,2.08
"15773","Personal care",1348,17.26
"15774","Religion and volunteering",1348,1.21
"15775","School / Study",1348,0.35
"15776","Social leisure",1348,25.49
"15777","Sport exercise",1348,2.65
"15778","TV/radio",1348,22.84
"15779","Cultural leisure",1349,2.85
"15780","Domestic work",1349,3.87
"15781","Eat drink",1349,8.18
"15782","Miscellaneous",1349,7.46
"15783","Nonsocial leisure",1349,5.73
"15784","Paid work",1349,2.08
"15785","Personal care",1349,17.26
"15786","Religion and volunteering",1349,1.21
"15787","School / Study",1349,0.35
"15788","Social leisure",1349,25.49
"15789","Sport exercise",1349,2.65
